filename,lineno,func,prim_calls,total_calls,tottime,cumtime,molecule
~,0,<built-in method numpy.empty>,108306,108306,0.205868781,0.205868781,H2
~,0,<built-in method numpy._core._multiarray_umath.c_einsum>,138,138,0.001395153,0.001395153,H2
~,0,<built-in method numpy.promote_types>,20,20,7.004e-06,7.004e-06,H2
~,0,<built-in method numpy.lib.array_utils.normalize_axis_index>,17,17,8.135000000000001e-06,8.135000000000001e-06,H2
~,0,<built-in method numpy._core._multiarray_umath._make_extobj>,7,7,1.7688e-05,1.7688e-05,H2
~,0,<method '__exit__' of 'numpy.nditer' objects>,72,72,3.8208000000000004e-05,3.8208000000000004e-05,H2
~,0,<method 'reduce' of 'numpy.ufunc' objects>,273696,273696,1.164937852,1.164937852,H2
~,0,<method 'outer' of 'numpy.ufunc' objects>,36,36,0.00028384600000000003,0.00028384600000000003,H2
getlimits.py,699,min,72,72,4.1765000000000004e-05,4.1765000000000004e-05,H2
multiarray.py,83,empty_like,36,36,7.0200000000000006e-06,7.0200000000000006e-06,H2
multiarray.py,361,where,65893,65893,0.018230411000000002,0.018230411000000002,H2
fromnumeric.py,1208,argmax,66,66,0.000170816,0.000431438,H2
_methods.py,67,_all,36,36,3.5628000000000005e-05,0.000328923,H2
numerictypes.py,470,issubdtype,65881,65881,0.172115549,0.41251073400000005,H2
fromnumeric.py,1639,diagonal,12,12,3.2281000000000005e-05,6.8986e-05,H2
fromnumeric.py,1846,ravel,2,2,4.4890000000000006e-06,1.6703000000000003e-05,H2
multiarray.py,161,concatenate,34,34,5.886e-06,5.886e-06,H2
fromnumeric.py,2400,any,30,30,7.567e-05,0.00044310800000000005,H2
fromnumeric.py,3068,prod,65882,65882,0.11584654700000001,0.840309979,H2
_ufunc_config.py,426,__exit__,6,6,8.492000000000001e-06,1.8565000000000003e-05,H2
fromnumeric.py,828,argpartition,6,6,1.2874e-05,0.000135014,H2
fromnumeric.py,1085,argsort,8,8,1.2400000000000002e-05,7.943800000000001e-05,H2
fromnumeric.py,1402,searchsorted,1,1,1.757e-06,1.4825000000000001e-05,H2
_methods.py,42,_amax,1,1,1.0110000000000001e-06,1.1178e-05,H2
fromnumeric.py,2609,cumsum,108186,108186,0.141959116,0.825551086,H2
multiarray.py,678,result_type,6,6,1.184e-06,1.184e-06,H2
multiarray.py,750,dot,348,348,6.485800000000001e-05,6.485800000000001e-05,H2
multiarray.py,1089,copyto,36,36,9.073000000000001e-06,9.073000000000001e-06,H2
multiarray.py,1185,packbits,1,1,4.2700000000000005e-07,4.2700000000000005e-07,H2
multiarray.py,1243,unpackbits,1,1,3.3e-07,3.3e-07,H2
numeric.py,59,_zeros_like_dispatcher,36,36,8.069e-06,8.069e-06,H2
numeric.py,456,_count_nonzero_dispatcher,65881,65881,0.014854143,0.014854143,H2
numeric.py,1433,_moveaxis_dispatcher,2,2,4.09e-07,4.09e-07,H2
_ufunc_config.py,400,__init__,6,6,3.107e-06,3.107e-06,H2
_twodim_base_impl.py,371,tri,36,36,0.00017095100000000002,0.0008876660000000001,H2
_twodim_base_impl.py,159,eye,6,6,5.9000000000000004e-05,7.5802e-05,H2
fromnumeric.py,89,_wrapreduction_any_all,30,30,0.00011805700000000001,0.00036743800000000004,H2
getlimits.py,712,max,72,72,5.085e-05,5.085e-05,H2
numeric.py,65,zeros_like,36,36,0.00039163500000000004,0.00048462600000000005,H2
fromnumeric.py,51,_wrapfunc,108280,108280,0.13936232,0.684476375,H2
_internal.py,278,data_as,720,720,0.0006111430000000001,0.002248155,H2
_twodim_base_impl.py,888,tril_indices,36,36,0.00027077300000000003,0.0035534150000000003,H2
__init__.py,517,cast,720,720,0.0016370120000000002,0.0016370120000000002,H2
iostream.py,584,_rotate_buffer,1,1,1.4495000000000001e-05,1.5364e-05,H2
iostream.py,165,_check_mp_mode,1,1,2.432e-06,5.3910000000000006e-06,H2
iostream.py,162,_is_master_process,1,1,1.5690000000000001e-06,2.9590000000000004e-06,H2
iostream.py,219,<lambda>,1,1,9.311000000000001e-06,0.00035639300000000004,H2
iostream.py,214,send_multipart,1,1,3.937000000000001e-06,7.358500000000001e-05,H2
iostream.py,466,_schedule_in_thread,1,1,4.531e-06,5.8439e-05,H2
iostream.py,577,_flush_buffer,1,1,8.123e-06,2.6005000000000003e-05,H2
iostream.py,198,closed,1,1,4.7400000000000004e-07,4.7400000000000004e-07,H2
iostream.py,202,schedule,1,1,1.1195e-05,6.964800000000001e-05,H2
iostream.py,221,_really_send,1,1,1.4295000000000001e-05,0.000347082,H2
zmqstream.py,533,sending,2,2,3.682e-06,2.1655000000000002e-05,H2
zmqstream.py,547,_run_callback,2,2,1.3016e-05,0.00047843200000000004,H2
zmqstream.py,654,_rebuild_io_state,2,2,1.3957e-05,0.000118913,H2
iostream.py,107,_handle_event,2,2,1.3782000000000001e-05,0.000430297,H2
zmqstream.py,677,_update_handler,2,2,5.8190000000000005e-06,6.7388e-05,H2
jsonutil.py,39,_ensure_tzinfo,2,2,1.8790000000000001e-06,1.8790000000000001e-06,H2
zmqstream.py,529,receiving,4,4,1.6310000000000001e-06,1.6310000000000001e-06,H2
~,0,<method 'disable' of '_lsprof.Profiler' objects>,1,1,0.00010881500000000001,0.00010881500000000001,H2
session.py,672,sign,1,1,1.161e-06,2.464e-06,H2
session.py,273,msg_header,1,1,4.449e-06,4.5774000000000006e-05,H2
ioloop.py,541,time,2,2,3.57e-06,4.864e-06,H2
ioloop.py,596,call_later,1,1,5.58e-06,5.3908000000000006e-05,H2
session.py,97,json_packer,4,4,1.0814e-05,0.00014631100000000002,H2
queue.py,209,_qsize,2,2,2.815e-06,3.671e-06,H2
ioloop.py,742,_run_callback,1,1,7.391e-06,0.000479918,H2
session.py,599,msg_id,1,1,7.279e-06,1.2250000000000001e-05,H2
