caller_file,caller_line,caller_func,callee_file,callee_line,callee_func,calls,edge_tottime_approx,edge_cumtime_approx,callee_tottime_total,callee_cumtime_total
lapack.py,1055,<genexpr>,lapack.py,1059,_check_work_float,72,0.00021276200000000002,0.00021276200000000002,0.00021276200000000002,0.00021276200000000002
linalg_helper.py,291,davidson1,_util.py,1203,wrapper,36,0.000536032,0.005399901,0.000536032,0.005399901
_util.py,1203,wrapper,_decomp.py,284,eigh,36,0.0022187220000000002,0.004813236,0.0022187220000000002,0.004813236
addons.py,60,restore,addons.py,190,_convert,48,0.001020717,0.00177125,0.001020717,0.00177125
direct_spin1.py,178,absorb_h1e,addons.py,60,restore,12,5.8838e-05,0.00053116,0.000460438,0.002579088
selected_ci.py,48,contract_2e,addons.py,60,restore,72,0.00036208000000000003,0.0017803570000000002,0.000460438,0.002579088
selected_ci.py,289,make_hdiag,addons.py,60,restore,6,1.7231e-05,3.6024e-05,0.000460438,0.002579088
selected_ci.py,313,kernel_fixed_space,addons.py,60,restore,6,2.2289000000000003e-05,0.00023154700000000002,0.000460438,0.002579088
selected_ci.py,519,make_rdm2s,rdm.py,123,make_rdm12_spin1,6,0.001531351,0.0016722730000000002,0.001531351,0.0016722730000000002
selected_ci.py,519,make_rdm2s,selected_ci.py,175,cre_des_linkstr,12,0.00014524900000000002,0.00024659300000000003,0.000723359,0.0012297080000000001
selected_ci.py,484,make_rdm1s,selected_ci.py,175,cre_des_linkstr,24,0.00039148000000000004,0.0006757400000000001,0.000723359,0.0012297080000000001
selected_ci.py,189,cre_des_linkstr_tril,selected_ci.py,175,cre_des_linkstr,12,0.00018663000000000002,0.00030737500000000003,0.000723359,0.0012297080000000001
selected_ci.py,484,make_rdm1s,rdm.py,91,make_rdm1_spin1,24,0.0005440950000000001,0.0010234270000000001,0.0005440950000000001,0.0010234270000000001
selected_ci.py,313,kernel_fixed_space,direct_spin1.py,178,absorb_h1e,6,0.000599232,0.0013259060000000002,0.000599232,0.0013259060000000002
selected_ci.py,289,make_hdiag,cistring.py,113,_strs2occslst,12,0.000262632,0.00038617100000000004,0.000262632,0.00038617100000000004
selected_ci.py,769,get_init_guess,direct_spin1.py,549,_get_init_guess,6,0.000271473,0.0006379140000000001,0.000271473,0.0006379140000000001
selected_ci.py,739,__init__,direct_spin1.py,847,__init__,6,2.3385e-05,2.3385e-05,2.3385e-05,2.3385e-05
selected_ci.py,519,make_rdm2s,selected_ci.py,194,des_des_linkstr,12,4.369e-06,4.369e-06,8.27e-06,8.27e-06
selected_ci.py,230,des_des_linkstr_tril,selected_ci.py,194,des_des_linkstr,12,3.9010000000000004e-06,3.9010000000000004e-06,8.27e-06,8.27e-06
selected_ci.py,758,contract_2e,selected_ci.py,48,contract_2e,36,0.011294252000000001,0.022235764,0.011294252000000001,0.022235764
selected_ci.py,313,kernel_fixed_space,selected_ci.py,289,make_hdiag,6,0.000443316,0.001111446,0.000443316,0.001111446
fermion.py,476,solve_sci,selected_ci.py,313,kernel_fixed_space,6,0.000284199,0.044689183,0.000284199,0.044689183
selected_ci.py,568,make_rdm2,selected_ci.py,519,make_rdm2s,6,7.220800000000001e-05,0.002141652,7.220800000000001e-05,0.002141652
~,0,<method 'poll' of 'select.epoll' objects>,bit_array.py,67,__init__,1,3.5874e-05,4.1054000000000004e-05,3.5874e-05,4.1054000000000004e-05
counts.py,45,bit_array_to_arrays,subsampling.py,96,postselect_by_hamming_right_and_left,1,0.00022647400000000003,0.0027524890000000003,0.00022647400000000003,0.0027524890000000003
fermion.py,435,solve_sci_batch,fermion.py,476,solve_sci,6,0.000402341,0.050088320000000006,0.000402341,0.050088320000000006
<string>,2,__init__,fermion.py,66,__post_init__,6,2.6539e-05,3.2959e-05,2.6539e-05,3.2959e-05
counts.py,45,bit_array_to_arrays,subsampling.py,147,subsample,2,7.3766e-05,0.00010163900000000001,7.3766e-05,0.00010163900000000001
counts.py,45,bit_array_to_arrays,configuration_recovery.py,59,recover_configurations,1,0.281624223,15.851468435000001,0.281624223,15.851468435000001
~,0,<method 'poll' of 'select.epoll' objects>,fermion.py,149,diagonalize_fermionic_hamiltonian,0,0.0,0.0,0.002909585,16.390153124
configuration_recovery.py,59,recover_configurations,configuration_recovery.py,181,_bipartite_bitstring_correcting,35465,7.233086472,14.977790082,7.233086472,14.977790082
~,0,<built-in method builtins.min>,fermion.py,377,<lambda>,6,2.6020000000000002e-06,2.6020000000000002e-06,2.6020000000000002e-06,2.6020000000000002e-06
configuration_recovery.py,181,_bipartite_bitstring_correcting,configuration_recovery.py,162,_p_flip_1_to_0,269453,0.220083889,0.41663828900000005,0.220083889,0.41663828900000005
fermion.py,476,solve_sci,<string>,2,__init__,6,5.1608000000000005e-05,8.4567e-05,5.1608000000000005e-05,8.4567e-05
counts.py,45,bit_array_to_arrays,fermion.py,428,_unique_with_order_preserved,7,2.4560000000000002e-05,0.000148739,2.4560000000000002e-05,0.000148739
configuration_recovery.py,181,_bipartite_bitstring_correcting,configuration_recovery.py,131,_p_flip_0_to_1,439847,0.225352942,0.225352942,0.421907342,0.421907342
configuration_recovery.py,162,_p_flip_1_to_0,configuration_recovery.py,131,_p_flip_0_to_1,269453,0.19655440000000002,0.19655440000000002,0.421907342,0.421907342
fermion.py,149,diagonalize_fermionic_hamiltonian,counts.py,45,bit_array_to_arrays,0,0.0,0.0,0.000109184,0.010749092
counts.py,45,bit_array_to_arrays,counts.py,186,bitstring_matrix_to_integers,12,0.00035267100000000004,0.00036383300000000004,0.00035267100000000004,0.00036383300000000004
counts.py,45,bit_array_to_arrays,fermion.py,435,solve_sci_batch,2,6.2458e-05,0.050150778,6.2458e-05,0.050150778
base_events.py,1922,_run_once,bit_array.py,157,num_shots,1,2.38e-06,2.38e-06,2.38e-06,2.38e-06
counts.py,45,bit_array_to_arrays,bit_array.py,144,array,1,9.660000000000002e-07,9.660000000000002e-07,9.660000000000002e-07,9.660000000000002e-07
bit_array.py,67,__init__,bit_array.py,37,_min_num_bytes,1,2.2e-06,2.2e-06,2.2e-06,2.2e-06
counts.py,45,bit_array_to_arrays,bit_array.py,149,num_bits,1,2.4270000000000002e-06,2.4270000000000002e-06,2.4270000000000002e-06,2.4270000000000002e-06
direct_spin1.py,549,_get_init_guess,addons.py,822,_unpack_nelec,6,6.321e-06,8.997e-06,0.000109364,0.000156348
selected_ci.py,313,kernel_fixed_space,addons.py,822,_unpack_nelec,6,1.2271000000000002e-05,1.5967e-05,0.000109364,0.000156348
selected_ci.py,812,make_rdm1s,addons.py,822,_unpack_nelec,12,1.1788000000000001e-05,1.7145000000000003e-05,0.000109364,0.000156348
selected_ci.py,830,make_rdm2,addons.py,822,_unpack_nelec,6,4.992000000000001e-06,7.462000000000001e-06,0.000109364,0.000156348
selected_ci.py,893,_unpack,addons.py,822,_unpack_nelec,66,6.8914e-05,9.9463e-05,0.000109364,0.000156348
selected_ci.py,818,make_rdm1,addons.py,822,_unpack_nelec,6,5.078e-06,7.314000000000001e-06,0.000109364,0.000156348
selected_ci.py,313,kernel_fixed_space,selected_ci.py,769,get_init_guess,6,4.2092e-05,0.0007139420000000001,4.2092e-05,0.0007139420000000001
selected_ci.py,313,kernel_fixed_space,selected_ci.py,903,_all_linkstr_index,6,2.0493000000000002e-05,0.000354046,2.0493000000000002e-05,0.000354046
addons.py,60,restore,addons.py,206,_stand_sym_code,96,0.00018127600000000002,0.000205806,0.00018127600000000002,0.000205806
selected_ci.py,313,kernel_fixed_space,direct_spin1.py,920,eig,6,0.000169891,0.040144358000000005,0.000169891,0.040144358000000005
selected_ci.py,830,make_rdm2,selected_ci.py,568,make_rdm2,6,0.000257314,0.0024089330000000003,0.000257314,0.0024089330000000003
direct_spin1.py,926,<lambda>,selected_ci.py,346,hop,36,0.00030907300000000004,0.023194533,0.00030907300000000004,0.023194533
fermion.py,476,solve_sci,selected_ci.py,812,make_rdm1s,6,3.3705000000000003e-05,0.001097985,4.8316e-05,0.0018844450000000002
selected_ci.py,818,make_rdm1,selected_ci.py,812,make_rdm1s,6,1.4611000000000001e-05,0.00078646,4.8316e-05,0.0018844450000000002
fermion.py,476,solve_sci,selected_ci.py,830,make_rdm2,6,2.5839e-05,0.00244703,2.5839e-05,0.00244703
selected_ci.py,346,hop,selected_ci.py,758,contract_2e,36,0.000153062,0.022404628000000003,0.000153062,0.022404628000000003
linalg_helper.py,291,davidson1,logger.py,142,debug,42,1.5367e-05,1.5367e-05,1.5367e-05,1.5367e-05
linalg_helper.py,291,davidson1,logger.py,146,debug1,12,5.234e-06,5.234e-06,5.234e-06,5.234e-06
selected_ci.py,346,hop,logger.py,182,timer_debug1,36,7.7019e-05,0.00021439400000000002,7.7019e-05,0.00021439400000000002
